,SLOPE,High,Low
SLOPE,Low,689.0,0.0
SLOPE,Medium,738.0,25.0
SLOPE,High,676.0,1531.0
PROXIMITY_TO_RIVER,Low,226.0,0.0
PROXIMITY_TO_RIVER,Medium,225.0,1.0
PROXIMITY_TO_RIVER,High,1652.0,1555.0
PROXIMITY_TO_FOREST,Low,158.0,435.0
PROXIMITY_TO_FOREST,Medium,256.0,397.0
PROXIMITY_TO_FOREST,High,1689.0,724.0
STREET_DENSITY,Low,196.0,362.0
STREET_DENSITY,Medium,626.0,1021.0
STREET_DENSITY,High,1281.0,173.0
ELEVATION,Low,773.0,0.0
ELEVATION,Medium,1217.0,540.0
ELEVATION,High,113.0,1016.0
LAND_USE,Low,,
LAND_USE,Medium,,
LAND_USE,High,,
SOIL_TYPE,Low,,
SOIL_TYPE,Medium,,
SOIL_TYPE,High,,
