LAND_USE,SOIL_TYPE,PROXIMITY_TO_FOREST,PROXIMITY_TO_RIVER,SLOPE,ELEVATION,STREET_DENSITY,Flood
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,T,High,Low,Low,Low,High,0.8447305292349999
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,L,High,Low,Low,Low,High,0.8328542909
Greenland,Unknown,High,Low,Low,Low,High,0.823593004125
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
Greenland,T,High,Medium,Low,Low,High,0.800657091925
