C1,FLOOD,actualValue
DEBWL0010003SisOFL,0.583,1
DEBWL0010003Si8TFL,0.585,1
DEBWL0010003Si8VFL,0.585,1
DEBWL0010003Si8nFL,0.585,1
DEBWL0010003Si8eFL,0.588,1
DEBWL0010003Si8cFL,0.591,1
DEBWL0010003ShYaFL,0.591,1
DEBWL0010003SisHFL,0.591,1
DEBWL0010003ShYSFL,0.666,1
DEBWL0010003ShYYFL,0.666,1
DEBWL0010003ShYKFL,0.666,1
DEBWL0010003ShYNFL,0.666,1
DEBWL0010003ShYGFL,0.666,1
DEBWL0010003ShYFFL,0.666,1
DEBWL0010003ShZtFL,0.666,1
DEBWL0010003ShZvFL,0.666,1
DEBWL0010003ShZ5FL,0.666,1
DEBWL0010003SisRFL,0.666,1
DEBWL0010003SisTFL,0.666,1
DEBWL0010003SisSFL,0.666,1
DEBWL0010003SisNFL,0.666,1
DEBWL0010003ShYMFL,0.666,1
DEBWL0010003Siq1FL,0.67,1
DEBWL0010003SilbFL,0.68,1
DEBWL0010003SildFL,0.68,1
DEBWL0010003Sil5FL,0.68,1
DEBWL0010003Sil7FL,0.68,1
DEBWL0010003Sil9FL,0.68,1
DEBWL0010003SiqPFL,0.68,1
DEBWL0010003ShYiFL,0.68,1
DEBWL0010003ShYrFL,0.68,1
DEBWL0010003ShYoFL,0.68,1
DEBWL0010003SisIFL,0.68,1
DEBWL0010003SisKFL,0.68,1
DEBWL0010003SipZFL,0.759,1
DEBWL0010003SiwZFL,0.759,1
DEBWL0010003SipTFL,0.759,1
DEBWL0010003SipUFL,0.759,1
DEBWL0010003SipYFL,0.759,1
DEBWL0010003SipWFL,0.759,1
DEBWL0010003SipPFL,0.759,1
DEBWL0010003SipOFL,0.759,1
DEBWL0010003Siq3FL,0.759,1
DEBWL0010003Si7BFL,0.767,1
DEBWL0010003Si9OFL,0.767,1
DEBWL0010003Si9QFL,0.767,1
DEBWL0010003Si7BFL,0.767,1
DEBWL0010003Si7DFL,0.767,1
DEBWL0010003Si9oFL,0.767,1
DEBWL0010003Si7DFL,0.767,1
DEBWL0010003Si9oFL,0.767,1
DEBWL0010003Si9rFL,0.767,1
DEBWL0010003SiwYFL,0.772,1
DEBWL0010003SipRFL,0.772,1
DEBWL0010003Siq2FL,0.772,1
DEBWL0010003Siq0FL,0.772,1
DEBWL0010003SiqtFL,0.772,1
DEBWL0010003Si0lFL,0.772,1
DEBWL0010003SitbFL,0.788,1
DEBWL0010003Si0xFL,0.801,1
DEBWL0010003Si9KFL,0.801,1
DEBWL0010003Sir7FL,0.801,1
