time,RWS_10,rolling_1h_sum,rolling_6h_sum,classification
2023-07-29 22:30:00,0.0,0.0,0.0,Low
2023-07-29 22:40:00,0.0,0.0,0.0,Low
2023-07-29 22:50:00,0.0,0.0,0.0,Low
2023-07-29 23:00:00,0.0,0.0,0.0,Low
2023-07-29 23:10:00,3.74,3.74,3.74,Low
2023-07-29 23:20:00,9.49,13.23,13.23,Low
2023-07-29 23:30:00,2.51,15.74,15.74,Medium
2023-07-29 23:40:00,1.21,16.95,16.95,Medium
2023-07-29 23:50:00,1.77,18.72,18.72,Medium
2023-07-30 00:00:00,0.33,19.05,19.05,Medium
2023-07-30 00:10:00,0.34,15.65,19.39,Medium
2023-07-30 00:20:00,0.16,6.319999999999999,19.55,Low
2023-07-30 00:30:00,0.0,3.81,19.55,Low
2023-07-30 00:40:00,0.0,2.6,19.55,Low
2023-07-30 00:50:00,0.0,0.8300000000000001,19.55,Low
2023-07-30 01:00:00,0.0,0.5,19.55,Low
2023-07-30 01:10:00,0.0,0.16,19.55,Low
2023-07-30 01:20:00,0.0,0.0,19.55,Low
2023-07-30 01:30:00,0.0,0.0,19.55,Low
2023-07-30 01:40:00,0.0,0.0,19.55,Low
2023-07-30 01:50:00,0.0,0.0,19.55,Low
2023-07-30 02:00:00,0.0,0.0,19.55,Low
2023-07-30 02:10:00,0.0,0.0,19.55,Low
2023-07-30 02:20:00,0.0,0.0,19.55,Low
2023-07-30 02:30:00,0.0,0.0,19.55,Low
2023-07-30 02:40:00,0.0,0.0,19.55,Low
2023-07-30 02:50:00,0.0,0.0,19.55,Low
2023-07-30 03:00:00,0.0,0.0,19.55,Low
2023-07-30 03:10:00,0.0,0.0,19.55,Low
2023-07-30 03:20:00,0.0,0.0,19.55,Low
2023-07-30 03:30:00,0.0,0.0,19.55,Low
2023-07-30 03:40:00,0.0,0.0,19.55,Low
2023-07-30 03:50:00,0.0,0.0,19.55,Low
2023-07-30 04:00:00,0.0,0.0,19.55,Low
2023-07-30 04:10:00,0.0,0.0,19.55,Low
2023-07-30 04:20:00,0.0,0.0,19.55,Low
2023-07-30 04:30:00,0.0,0.0,19.55,Low
2023-07-30 04:40:00,0.0,0.0,19.55,Low
2023-07-30 04:50:00,0.0,0.0,19.55,Low
2023-07-30 05:00:00,0.17,0.17,19.72,Low
2023-07-30 05:10:00,0.0,0.17,15.98,Low
2023-07-30 05:20:00,0.17,0.34,6.66,Low
2023-07-30 05:30:00,0.0,0.34,4.15,Low
2023-07-30 05:40:00,0.0,0.34,2.94,Low
2023-07-30 05:50:00,0.0,0.34,1.1700000000000002,Low
2023-07-30 06:00:00,0.0,0.17,0.84,Low
2023-07-30 06:10:00,0.17,0.34,0.67,Low
2023-07-30 06:20:00,0.0,0.17,0.51,Low
2023-07-30 06:30:00,0.0,0.17,0.51,Low
2023-07-30 06:40:00,0.0,0.17,0.51,Low
2023-07-30 06:50:00,0.16,0.33,0.67,Low
2023-07-30 07:00:00,0.0,0.33,0.67,Low
