,date,daily_classification
0,2023-07-29,Medium
1,2023-07-30,Medium
2,2023-07-31,Low
3,2023-08-01,Low
4,2023-08-02,Low
5,2023-08-03,Low
6,2023-08-04,Low
7,2023-08-05,Low
8,2023-08-06,Low
9,2023-08-07,Low
10,2023-08-08,Low
11,2023-08-09,Low
12,2023-08-10,Low
13,2023-08-11,Low
14,2023-08-12,Low
15,2023-08-13,Low
16,2023-08-14,Low
17,2023-08-15,Low
18,2023-08-16,Low
19,2023-08-17,Low
20,2023-08-18,Low
21,2023-08-19,Low
22,2023-08-20,Low
23,2023-08-21,Low
24,2023-08-22,Low
25,2023-08-23,Low
26,2023-08-24,Low
27,2023-08-25,Low
28,2023-08-26,Medium
29,2023-08-27,Low
30,2023-08-28,Low
31,2023-08-29,Low
32,2023-08-30,Low
33,2023-08-31,Low
34,2023-09-01,Low
35,2023-09-02,Low
36,2023-09-03,Low
37,2023-09-04,Low
38,2023-09-05,Low
39,2023-09-06,Low
40,2023-09-07,Low
41,2023-09-08,Low
42,2023-09-09,Low
43,2023-09-10,Low
44,2023-09-11,Low
45,2023-09-12,Low
46,2023-09-13,Low
47,2023-09-14,Low
48,2023-09-15,Low
49,2023-09-16,Low
50,2023-09-17,Low
51,2023-09-18,Low
52,2023-09-19,Low
53,2023-09-20,Low
54,2023-09-21,Low
55,2023-09-22,Low
56,2023-09-23,Low
57,2023-09-24,Low
58,2023-09-25,Low
59,2023-09-26,Low
60,2023-09-27,Low
61,2023-09-28,Low
62,2023-09-29,Low
63,2023-09-30,Low
64,2023-10-01,Low
65,2023-10-02,Low
66,2023-10-03,Low
67,2023-10-04,Low
68,2023-10-05,Low
69,2023-10-06,Low
70,2023-10-07,Low
71,2023-10-08,Low
72,2023-10-09,Low
73,2023-10-10,Low
74,2023-10-11,Low
75,2023-10-12,Low
76,2023-10-13,Low
77,2023-10-14,Low
78,2023-10-15,Low
79,2023-10-16,Low
80,2023-10-17,Low
81,2023-10-18,Low
82,2023-10-19,Low
83,2023-10-20,Low
84,2023-10-21,Low
85,2023-10-22,Low
86,2023-10-23,Low
87,2023-10-24,Low
88,2023-10-25,Low
89,2023-10-26,Low
90,2023-10-27,Low
91,2023-10-28,Low
92,2023-10-29,Low
93,2023-10-30,Low
94,2023-10-31,Low
95,2023-11-01,Low
96,2023-11-02,Low
97,2023-11-03,Low
98,2023-11-04,Low
99,2023-11-05,Low
100,2023-11-06,Low
101,2023-11-07,Low
102,2023-11-08,Low
103,2023-11-09,Low
104,2023-11-10,Low
105,2023-11-11,Low
106,2023-11-12,Low
107,2023-11-13,Low
108,2023-11-14,Low
109,2023-11-15,Low
110,2023-11-16,Low
111,2023-11-17,Low
112,2023-11-18,Low
113,2023-11-19,Low
114,2023-11-20,Low
115,2023-11-21,Low
116,2023-11-22,Low
117,2023-11-23,Low
118,2023-11-24,Low
119,2023-11-25,Low
120,2023-11-26,Low
121,2023-11-27,Low
122,2023-11-28,Low
123,2023-11-29,Low
124,2023-11-30,Low
125,2023-12-01,Low
126,2023-12-02,Low
127,2023-12-03,Low
128,2023-12-04,Low
129,2023-12-05,Low
130,2023-12-06,Low
131,2023-12-07,Low
132,2023-12-08,Low
133,2023-12-09,Low
134,2023-12-10,Low
135,2023-12-11,Low
136,2023-12-12,Low
137,2023-12-13,Low
138,2023-12-14,Low
139,2023-12-15,Low
140,2023-12-16,Low
141,2023-12-17,Low
142,2023-12-18,Low
143,2023-12-19,Low
144,2023-12-20,Low
145,2023-12-21,Low
146,2023-12-22,Low
147,2023-12-23,Low
148,2023-12-24,Low
149,2023-12-25,Low
150,2023-12-26,Low
151,2023-12-27,Low
152,2023-12-28,Low
153,2023-12-29,Low
154,2023-12-30,Low
155,2023-12-31,Low
156,2024-01-01,Low
157,2024-01-02,Low
158,2024-01-03,Low
159,2024-01-04,Low
160,2024-01-05,Low
161,2024-01-06,Low
162,2024-01-07,Low
163,2024-01-08,Low
164,2024-01-09,Low
165,2024-01-10,Low
166,2024-01-11,Low
167,2024-01-12,Low
168,2024-01-13,Low
169,2024-01-14,Low
