latitude,rainfall_amount
time,rainfall_amount
2023-07-31,0.60
2023-08-01,19.00
2023-08-02,42.50
2023-08-03,1.20
2023-08-04,11.90
2023-08-05,2.50
2023-08-06,14.20
2023-08-07,1.60
2023-08-08,0.30
2023-08-09,5.90
2023-08-10,0.00
2023-08-11,0.00
2023-08-12,6.70
2023-08-13,3.00
2023-08-14,1.90
2023-08-15,1.20
2023-08-16,7.30
2023-08-17,0.50
2023-08-18,0.00
2023-08-19,0.00
2023-08-20,0.00
2023-08-21,0.80
2023-08-22,0.20
2023-08-23,0.00
2023-08-24,0.80
2023-08-25,0.40
2023-08-26,9.30
2023-08-27,5.20
2023-08-28,2.50
2023-08-29,14.60
2023-08-30,3.70
2023-08-31,2.10
2023-09-01,8.00
2023-09-02,0.00
2023-09-03,0.00
2023-09-04,0.00
2023-09-05,0.00
2023-09-06,0.00
2023-09-07,0.00
2023-09-08,0.00
2023-09-09,0.00
2023-09-10,0.00
2023-09-11,0.00
2023-09-12,0.00
2023-09-13,0.60
2023-09-14,0.60
2023-09-15,0.00
2023-09-16,0.00
2023-09-17,0.00
2023-09-18,2.40
2023-09-19,1.60
2023-09-20,0.00
2023-09-21,8.30
2023-09-22,8.70
2023-09-23,0.00
2023-09-24,0.00
2023-09-25,0.00
2023-09-26,0.00
2023-09-27,0.00
2023-09-28,0.00
2023-09-29,0.50
2023-09-30,0.80
2023-10-01,0.00
2023-10-02,0.00
2023-10-03,8.50
2023-10-04,0.00
2023-10-05,0.00
2023-10-06,0.00
2023-10-07,0.00
2023-10-08,0.00
2023-10-09,0.00
2023-10-10,0.00
2023-10-11,0.00
2023-10-12,1.10
2023-10-13,0.00
2023-10-14,16.10
2023-10-15,2.20
2023-10-16,0.00
2023-10-17,0.00
2023-10-18,7.40
2023-10-19,15.60
2023-10-20,6.70
2023-10-21,0.30
2023-10-22,0.00
2023-10-23,0.80
2023-10-24,11.10
2023-10-25,6.50
2023-10-26,10.70
2023-10-27,8.10
2023-10-28,2.80
2023-10-29,0.50
2023-10-30,11.10
2023-10-31,8.90
2023-11-01,0.70
2023-11-02,1.70
2023-11-03,1.80
2023-11-04,8.90
2023-11-05,9.40
2023-11-06,0.40
2023-11-07,0.80
2023-11-08,0.00
2023-11-09,0.40
2023-11-10,2.30
2023-11-11,7.40
2023-11-12,4.80
2023-11-13,22.90
2023-11-14,6.90
2023-11-15,13.00
2023-11-16,18.00
2023-11-17,11.80
2023-11-18,3.10
2023-11-19,14.00
2023-11-20,7.00
2023-11-21,3.70
2023-11-22,0.40
2023-11-23,0.10
2023-11-24,14.60
2023-11-25,3.10
2023-11-26,0.60
2023-11-27,6.20
2023-11-28,8.50
2023-11-29,0.10
2023-11-30,1.10
2023-12-01,1.10
