,date,river_discharge,river_discharge_class
0,2023-07-31,0.08,Low
1,2023-08-01,0.19,Medium
2,2023-08-02,0.28,Medium
3,2023-08-03,0.11,Low
4,2023-08-04,0.63,High
5,2023-08-05,0.17,Medium
6,2023-08-06,0.12,Low
7,2023-08-07,0.3,Medium
8,2023-08-08,0.14,Low
9,2023-08-09,0.06,Low
10,2023-08-10,0.17,Medium
11,2023-08-11,0.05,Low
12,2023-08-12,0.02,Low
13,2023-08-13,0.17,Medium
14,2023-08-14,0.25,Medium
15,2023-08-15,0.25,Medium
16,2023-08-16,0.06,Low
17,2023-08-17,0.16,Low
18,2023-08-18,0.22,Medium
19,2023-08-19,0.01,Low
20,2023-08-20,0.02,Low
21,2023-08-21,0.02,Low
22,2023-08-22,0.02,Low
23,2023-08-23,0.01,Low
24,2023-08-24,0.02,Low
25,2023-08-25,0.04,Low
26,2023-08-26,0.23,Medium
27,2023-08-27,0.14,Low
28,2023-08-28,0.15,Low
29,2023-08-29,0.2,Medium
30,2023-08-30,0.3,Medium
31,2023-08-31,0.21,Medium
32,2023-09-01,0.12,Low
33,2023-09-02,0.22,Medium
34,2023-09-03,0.06,Low
35,2023-09-04,0.02,Low
36,2023-09-05,0.02,Low
37,2023-09-06,0.02,Low
38,2023-09-07,0.01,Low
39,2023-09-08,0.01,Low
40,2023-09-09,0.01,Low
41,2023-09-10,0.01,Low
42,2023-09-11,0.01,Low
43,2023-09-12,0.01,Low
44,2023-09-13,0.03,Low
45,2023-09-14,0.03,Low
46,2023-09-15,0.01,Low
47,2023-09-16,0.01,Low
48,2023-09-17,0.01,Low
49,2023-09-18,0.07,Low
50,2023-09-19,0.19,Medium
51,2023-09-20,0.08,Low
52,2023-09-21,0.02,Low
53,2023-09-22,0.13,Low
54,2023-09-23,0.15,Low
55,2023-09-24,0.05,Low
56,2023-09-25,0.02,Low
57,2023-09-26,0.02,Low
58,2023-09-27,0.02,Low
59,2023-09-28,0.01,Low
60,2023-09-29,0.01,Low
61,2023-09-30,0.01,Low
62,2023-10-01,0.01,Low
63,2023-10-02,0.01,Low
64,2023-10-03,0.01,Low
65,2023-10-04,0.05,Low
66,2023-10-05,0.02,Low
67,2023-10-06,0.01,Low
68,2023-10-07,0.01,Low
69,2023-10-08,0.01,Low
70,2023-10-09,0.02,Low
71,2023-10-10,0.01,Low
72,2023-10-11,0.01,Low
73,2023-10-12,0.01,Low
74,2023-10-13,0.05,Low
75,2023-10-14,0.03,Low
76,2023-10-15,0.19,Medium
77,2023-10-16,0.08,Low
78,2023-10-17,0.04,Low
79,2023-10-18,0.02,Low
80,2023-10-19,0.25,Medium
81,2023-10-20,0.12,Low
82,2023-10-21,0.18,Medium
83,2023-10-22,0.09,Low
84,2023-10-23,0.02,Low
85,2023-10-24,0.03,Low
86,2023-10-25,0.11,Low
87,2023-10-26,0.19,Medium
88,2023-10-27,0.18,Medium
89,2023-10-28,0.21,Medium
90,2023-10-29,0.11,Low
91,2023-10-30,0.27,Medium
92,2023-10-31,0.24,Medium
93,2023-11-01,0.17,Medium
94,2023-11-02,0.06,Low
95,2023-11-03,0.1,Low
96,2023-11-04,0.04,Low
97,2023-11-05,0.16,Low
98,2023-11-06,0.31,Medium
99,2023-11-07,0.16,Low
100,2023-11-08,0.06,Low
101,2023-11-09,0.04,Low
