latitude,temperature
2023-07-31,18.9
2023-08-01,17.9
2023-08-02,17.9
2023-08-03,18.1
2023-08-04,16.0
2023-08-05,17.0
2023-08-06,14.0
2023-08-07,13.4
2023-08-08,16.0
2023-08-09,16.1
2023-08-10,17.7
2023-08-11,21.0
2023-08-12,22.0
2023-08-13,21.1
2023-08-14,24.1
2023-08-15,23.1
2023-08-16,22.2
2023-08-17,21.9
2023-08-18,24.5
2023-08-19,25.6
2023-08-20,25.2
2023-08-21,25.6
2023-08-22,24.8
2023-08-23,23.8
2023-08-24,24.4
2023-08-25,23.3
2023-08-26,18.7
2023-08-27,16.8
2023-08-28,14.3
2023-08-29,13.3
2023-08-30,15.1
2023-08-31,15.2
2023-09-01,17.6
2023-09-02,19.3
2023-09-03,19.2
2023-09-04,20.0
2023-09-05,20.5
2023-09-06,20.0
2023-09-07,20.8
2023-09-08,21.3
2023-09-09,21.9
2023-09-10,22.5
2023-09-11,22.1
2023-09-12,22.4
2023-09-13,19.3
2023-09-14,17.0
2023-09-15,18.8
2023-09-16,20.8
2023-09-17,22.0
2023-09-18,19.3
2023-09-19,17.3
2023-09-20,18.3
2023-09-21,19.2
2023-09-22,15.0
2023-09-23,13.1
2023-09-24,13.2
2023-09-25,14.9
2023-09-26,15.7
2023-09-27,16.9
2023-09-28,18.3
2023-09-29,18.9
2023-09-30,16.1
2023-10-01,15.8
2023-10-02,18.0
2023-10-03,18.1
2023-10-04,12.5
2023-10-05,11.0
2023-10-06,12.1
2023-10-07,12.8
2023-10-08,15.8
2023-10-09,15.9
2023-10-10,16.0
2023-10-11,17.1
2023-10-12,17.2
2023-10-13,19.4
2023-10-14,15.1
2023-10-15,7.5
2023-10-16,6.4
2023-10-17,6.8
2023-10-18,9.8
2023-10-19,14.1
2023-10-20,14.0
2023-10-21,14.0
2023-10-22,11.7
2023-10-23,10.9
2023-10-24,12.0
2023-10-25,11.6
2023-10-26,11.4
2023-10-27,10.9
2023-10-28,11.3
2023-10-29,13.8
2023-10-30,13.2
2023-10-31,10.6
2023-11-01,11.8
2023-11-02,9.7
2023-11-03,6.4
2023-11-04,7.4
2023-11-05,9.9
2023-11-06,9.7
2023-11-07,7.4
2023-11-08,7.1
2023-11-09,8.1
2023-11-10,7.5
2023-11-11,5.5
2023-11-12,5.1
2023-11-13,10.9
2023-11-14,10.9
2023-11-15,9.0
2023-11-16,7.2
2023-11-17,5.4
2023-11-18,6.0
2023-11-19,11.1
2023-11-20,9.2
2023-11-21,7.4
2023-11-22,2.7
2023-11-23,3.0
2023-11-24,5.2
2023-11-25,1.6
2023-11-26,1.8
2023-11-27,2.3
2023-11-28,1.5
2023-11-29,-0.0
2023-11-30,0.3
2023-12-01,1.0
2023-12-02,-2.2
2023-12-03,-4.4
2023-12-04,-2.5
2023-12-05,3.6
2023-12-06,2.2
2023-12-07,0.3
2023-12-08,3.0
2023-12-09,5.8
2023-12-10,7.6
2023-12-11,9.0
2023-12-12,7.8
2023-12-13,7.1
2023-12-14,5.4
2023-12-15,4.5
2023-12-16,3.8
2023-12-17,1.4
2023-12-18,1.8
2023-12-19,1.1
2023-12-20,4.5
2023-12-21,7.0
2023-12-22,6.3
2023-12-23,6.4
2023-12-24,7.8
2023-12-25,9.6
2023-12-26,8.2
2023-12-27,7.0
2023-12-28,8.3
2023-12-29,9.2
2023-12-30,7.6
2023-12-31,5.6
2024-01-01,5.2
2024-01-02,7.5
2024-01-03,8.8
2024-01-04,6.4
2024-01-05,5.9
2024-01-06,3.8
2024-01-07,1.3
2024-01-08,-2.9
2024-01-09,-3.5
2024-01-10,-3.2
2024-01-11,-3.4
2024-01-12,-3.6
2024-01-13,-3.1
2024-01-14,-3.2
2024-01-15,-1.5
2024-01-16,-2.5
2024-01-17,2.5
2024-01-18,2.2
2024-01-19,-2.7
2024-01-20,-3.1
2024-01-21,0.1
2024-01-22,6.0
2024-01-23,5.4
2024-01-24,9.5
2024-01-25,6.8
2024-01-26,7.6
2024-01-27,1.8
2024-01-28,3.6
2024-01-29,4.1
2024-01-30,4.5
2024-01-31,5.1
2024-02-01,6.6
2024-02-02,4.5
2024-02-03,6.9
2024-02-04,8.1
2024-02-05,7.1
2024-02-06,5.7
2024-02-07,7.9
2024-02-08,9.7
2024-02-09,10.7
2024-02-10,8.9
2024-02-11,7.1
2024-02-12,6.5
2024-02-13,4.7
2024-02-14,7.3
2024-02-15,10.0
2024-02-16,10.8
2024-02-17,9.8
2024-02-18,7.3
2024-02-19,8.2
2024-02-20,6.3
2024-02-21,7.4
2024-02-22,9.5
2024-02-23,5.4
2024-02-24,4.3
2024-02-25,5.1
2024-02-26,8.2
2024-02-27,7.1
2024-02-28,5.8
2024-02-29,5.6
2024-03-01,5.3
2024-03-02,8.2
2024-03-03,10.1
2024-03-04,7.0
2024-03-05,6.5
2024-03-06,5.5
2024-03-07,4.6
2024-03-08,5.2
2024-03-09,8.3
2024-03-10,9.3
2024-03-11,7.5
2024-03-12,5.7
2024-03-13,7.8
2024-03-14,10.5
2024-03-15,11.2
2024-03-16,9.8
2024-03-17,8.7
2024-03-18,8.8
2024-03-19,9.3
2024-03-20,11.1
2024-03-21,10.8
2024-03-22,11.0
2024-03-23,7.4
2024-03-24,4.3
2024-03-25,5.7
2024-03-26,9.1
2024-03-27,8.0
2024-03-28,6.7
2024-03-29,10.7
2024-03-30,13.8
2024-03-31,11.9
2024-04-01,9.1
2024-04-02,9.0
2024-04-03,9.0
2024-04-04,11.4
2024-04-05,15.4
2024-04-06,17.4
2024-04-07,17.8
2024-04-08,19.8
2024-04-09,11.8
2024-04-10,8.9
2024-04-11,10.2
2024-04-12,12.3
2024-04-13,15.0
2024-04-14,16.0
2024-04-15,12.1
2024-04-16,6.5
2024-04-17,5.8
2024-04-18,4.4
2024-04-19,4.5
2024-04-20,5.1
2024-04-21,3.9
2024-04-22,4.4
2024-04-23,4.8
2024-04-24,3.4
2024-04-25,4.6
2024-04-26,7.5
2024-04-27,12.3
2024-04-28,13.2
2024-04-29,14.6
2024-04-30,17.5
2024-05-01,18.5
2024-05-02,15.1
2024-05-03,11.7
2024-05-04,13.2
2024-05-05,14.5
2024-05-06,13.8
2024-05-07,12.6
2024-05-08,11.0
2024-05-09,13.0
2024-05-10,15.0
2024-05-11,16.5
2024-05-12,17.9
2024-05-13,16.9
2024-05-14,18.4
2024-05-15,15.1
2024-05-16,15.2
2024-05-17,11.9
2024-05-18,14.6
2024-05-19,14.5
2024-05-20,16.3
2024-05-21,14.5
2024-05-22,14.5
2024-05-23,14.0
2024-05-24,13.9
2024-05-25,14.5
2024-05-26,16.4
2024-05-27,16.3
2024-05-28,14.3
2024-05-29,14.6
2024-05-30,15.5
2024-05-31,12.3
2024-06-01,13.1
2024-06-02,15.4
2024-06-03,14.4
2024-06-04,16.1
2024-06-05,16.6
2024-06-06,17.4
2024-06-07,17.9
2024-06-08,18.3
2024-06-09,18.1
2024-06-10,16.1
2024-06-11,12.4
2024-06-12,13.3
2024-06-13,13.5
2024-06-14,15.8
2024-06-15,16.5
2024-06-16,16.5
2024-06-17,17.8
2024-06-18,21.2
2024-06-19,20.6
2024-06-20,20.6
2024-06-21,20.7
2024-06-22,15.7
2024-06-23,17.3
2024-06-24,20.7
2024-06-25,21.6
2024-06-26,20.6
2024-06-27,21.9
2024-06-28,21.6
2024-06-29,24.7
2024-06-30,19.3
2024-07-01,16.4
2024-07-02,14.7
2024-07-03,13.5
2024-07-04,15.4
2024-07-05,17.7
2024-07-06,19.0
2024-07-07,16.4
2024-07-08,19.2
2024-07-09,23.9
2024-07-10,21.8
2024-07-11,21.5
2024-07-12,20.9
2024-07-13,17.4
2024-07-14,18.5
2024-07-15,22.3
2024-07-16,20.4
2024-07-17,19.2
2024-07-18,21.6
2024-07-19,23.2
2024-07-20,23.7
2024-07-21,22.5
2024-07-22,20.7
2024-07-23,19.4
2024-07-24,18.0
2024-07-25,19.0
2024-07-26,20.7
2024-07-27,21.5
